Licences in: TIBCO® Developer Hub

╔═══════╤════════════════════════════════════════════════════════════════════════════════╤══════════════════════════════════════╤══════════════════════════════════════╗
║  NR   │ name                                                                           │ version                              │ license                              ║
║   1   │ 1to2                                                                           │ 1.0.0                                │ MIT                                  ║
║   2   │ @acemir/cssom                                                                  │ 0.9.31                               │ MIT                                  ║
║   3   │ @adobe/css-tools                                                               │ 4.5.0                                │ MIT                                  ║
║   4   │ @apidevtools/json-schema-ref-parser                                            │ 11.7.2                               │ MIT                                  ║
║   5   │ @apidevtools/json-schema-ref-parser                                            │ 14.2.1                               │ MIT                                  ║
║   6   │ @apidevtools/openapi-schemas                                                   │ 2.1.0                                │ MIT                                  ║
║   7   │ @apidevtools/swagger-methods                                                   │ 3.0.2                                │ MIT                                  ║
║   8   │ @apidevtools/swagger-parser                                                    │ 10.1.1                               │ MIT                                  ║
║   9   │ @asamuzakjp/css-color                                                          │ 4.1.2                                │ MIT                                  ║
║  10   │ @asamuzakjp/css-color                                                          │ 5.1.11                               │ MIT                                  ║
║  11   │ @asamuzakjp/dom-selector                                                       │ 6.8.1                                │ MIT                                  ║
║  12   │ @asamuzakjp/generational-cache                                                 │ 1.0.1                                │ MIT                                  ║
║  13   │ @asamuzakjp/nwsapi                                                             │ 2.3.9                                │ MIT                                  ║
║  14   │ @asyncapi/avro-schema-parser                                                   │ 3.0.24                               │ Apache-2.0                           ║
║  15   │ @asyncapi/openapi-schema-parser                                                │ 3.0.24                               │ Apache-2.0                           ║
║  16   │ @asyncapi/parser                                                               │ 3.6.0                                │ Apache-2.0                           ║
║  17   │ @asyncapi/protobuf-schema-parser                                               │ 3.7.0                                │ Apache-2.0                           ║
║  18   │ @asyncapi/react-component                                                      │ 2.6.5                                │ Apache-2.0                           ║
║  19   │ @asyncapi/specs                                                                │ 6.11.1                               │ Apache-2.0                           ║
║  20   │ @aws-crypto/sha256-js                                                          │ 5.2.0                                │ Apache-2.0                           ║
